show_id,listed_in_1,listed_in_2,listed_in_3,listed_in_4,listed_in_5,listed_in_6,listed_in_7,listed_in_8
s193,Action & Adventure, Comedies, International Movies,NULL,NULL,NULL,NULL,NULL
s194,International TV Shows, TV Dramas,NULL,NULL,NULL,NULL,NULL,NULL
s195,International TV Shows, Spanish-Language TV Shows, TV Dramas,NULL,NULL,NULL,NULL,NULL
s196,Comedies, Dramas, International Movies,NULL,NULL,NULL,NULL,NULL
s197,Comedies, Romantic Movies,NULL,NULL,NULL,NULL,NULL,NULL
s198,Kids' TV, TV Comedies,NULL,NULL,NULL,NULL,NULL,NULL
s199,Crime TV Shows, International TV Shows, TV Dramas,NULL,NULL,NULL,NULL,NULL
s200,Comedies, Dramas, International Movies,NULL,NULL,NULL,NULL,NULL
s201,Action & Adventure, Horror Movies, International Movies,NULL,NULL,NULL,NULL,NULL
s202,Dramas, International Movies, Thrillers,NULL,NULL,NULL,NULL,NULL
s203,Comedies, International Movies, Music & Musicals,NULL,NULL,NULL,NULL,NULL
s204,Comedies, International Movies,NULL,NULL,NULL,NULL,NULL,NULL
s205,Comedies, International Movies,NULL,NULL,NULL,NULL,NULL,NULL
s206,Comedies, International Movies, Sci-Fi & Fantasy,NULL,NULL,NULL,NULL,NULL
s207,Dramas, Independent Movies, International Movies,NULL,NULL,NULL,NULL,NULL
s208,Action & Adventure, International Movies, Music & Musicals,NULL,NULL,NULL,NULL,NULL
s209,Dramas, International Movies, Music & Musicals,NULL,NULL,NULL,NULL,NULL
s210,Dramas, International Movies, Music & Musicals,NULL,NULL,NULL,NULL,NULL
s211,Horror Movies, International Movies,NULL,NULL,NULL,NULL,NULL,NULL
s212,Horror Movies, International Movies,NULL,NULL,NULL,NULL,NULL,NULL
s213,International TV Shows, TV Dramas,NULL,NULL,NULL,NULL,NULL,NULL
s214,Docuseries, International TV Shows,NULL,NULL,NULL,NULL,NULL,NULL
s215,Action & Adventure, International Movies,NULL,NULL,NULL,NULL,NULL,NULL
s216,Action & Adventure, Dramas, International Movies,NULL,NULL,NULL,NULL,NULL
s217,Comedies, Dramas, Independent Movies,NULL,NULL,NULL,NULL,NULL
s218,Comedies, Dramas, International Movies,NULL,NULL,NULL,NULL,NULL
s219,Reality TV, Teen TV Shows,NULL,NULL,NULL,NULL,NULL,NULL
s220,Anime Series, International TV Shows,NULL,NULL,NULL,NULL,NULL,NULL
s221,Kids' TV, TV Comedies,NULL,NULL,NULL,NULL,NULL,NULL
s222,Documentaries,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s223,Crime TV Shows, TV Dramas, TV Mysteries,NULL,NULL,NULL,NULL,NULL
s224,Crime TV Shows, Docuseries, International TV Shows,NULL,NULL,NULL,NULL,NULL
s225,International TV Shows, Reality TV,NULL,NULL,NULL,NULL,NULL,NULL
s226,International TV Shows, TV Dramas, TV Mysteries,NULL,NULL,NULL,NULL,NULL
s227,International TV Shows, TV Comedies, TV Dramas,NULL,NULL,NULL,NULL,NULL
s228,Dramas, Independent Movies, Romantic Movies,NULL,NULL,NULL,NULL,NULL
s229,Action & Adventure,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s230,Horror Movies,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s231,Documentaries, Sports Movies,NULL,NULL,NULL,NULL,NULL,NULL
s232,Children & Family Movies, Dramas,NULL,NULL,NULL,NULL,NULL,NULL
s233,Reality TV,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s234,Documentaries, Music & Musicals,NULL,NULL,NULL,NULL,NULL,NULL
s235,Kids' TV, TV Comedies,NULL,NULL,NULL,NULL,NULL,NULL
s236,Documentaries, LGBTQ Movies, Sports Movies,NULL,NULL,NULL,NULL,NULL
s237,Horror Movies, International Movies, Thrillers,NULL,NULL,NULL,NULL,NULL
s238,Horror Movies, International Movies, Thrillers,NULL,NULL,NULL,NULL,NULL
s239,Horror Movies, International Movies, Thrillers,NULL,NULL,NULL,NULL,NULL
s240,Horror Movies, International Movies, Thrillers,NULL,NULL,NULL,NULL,NULL
s241,Action & Adventure, Anime Features,NULL,NULL,NULL,NULL,NULL,NULL
s242,TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy,NULL,NULL,NULL,NULL,NULL
s243,International TV Shows, TV Comedies,NULL,NULL,NULL,NULL,NULL,NULL
s244,International TV Shows, Spanish-Language TV Shows, TV Comedies,NULL,NULL,NULL,NULL,NULL
s245,Dramas, International Movies, Thrillers,NULL,NULL,NULL,NULL,NULL
s246,Docuseries, International TV Shows,NULL,NULL,NULL,NULL,NULL,NULL
s247,Dramas, International Movies, Romantic Movies,NULL,NULL,NULL,NULL,NULL
s248,Action & Adventure, Dramas,NULL,NULL,NULL,NULL,NULL,NULL
s249,TV Comedies, TV Dramas,NULL,NULL,NULL,NULL,NULL,NULL
s250,Children & Family Movies, Comedies, Music & Musicals,NULL,NULL,NULL,NULL,NULL
s251,Dramas, International Movies, Romantic Movies,NULL,NULL,NULL,NULL,NULL
s252,Dramas, Independent Movies, Romantic Movies,NULL,NULL,NULL,NULL,NULL
s253,International Movies, Thrillers,NULL,NULL,NULL,NULL,NULL,NULL
